animal_land,animal_nonland,tool_manual,tool_power,food_cooked,food_uncooked
dog.jpg,duck.png,nailclipper.png,electric_razor.png,popcorn.png,coffeebeans.jpg
horse.png,red_bettafish.png,pipewrench.png,hair_dryer.png,quiche.png,buk_choy.png
antelope.png,seahorse.png,staplegun.png,watch.jpg,hot_dog.png,mushroom.png
caracal.jpg,cockatoo.png,saw.png,headphones.jpg,grilled_sausage.png,red_cabbage.png
ferret.jpg,pike.jpg,plunger.png,food_processor.png,beef_pho.png,red_lettuce.png
grey_wolf.png,shoebill.png,chisel.png,chain_saw.png,chicken_noodle_soup.png,raspberry.png
chinchilla.png,starfish.png,corkscrew.png,thermometer.jpg,waffle.png,cauliflower.png
rhino.jpg,salmon.jpg,magnifyingglass.png,battery.jpg,baked_curry_bread.png,bokchoy.jpg
bison.jpg,sea_turtle.png,ladle.png,panini_grill.png,naan.jpg,zucchini.png
okapi.png,dolphin.png,carabiner.jpg,weed_wacker.png,beef_nachos.png,apricot.png
bactriancamel.png,angelfish.jpg,cart.jpg,belt_sander.jpg,spaghetti.png,lime.png
deer.jpg,heron.png,beaker.jpg,videogamecontroller.jpg,pancakes.png,potato.png
lion.png,seagull.png,dustpan.png,hedge_trimmer.png,shrimp_skewers.png,figs.png
aardvark.jpg,eagle.png,pen.png,cutting_machine.png,bread.jpg,chard.jpg
suricate.png,swan.png,key.png,espresso_machine.png,seafood_paella.png,almonds.jpg
jackrabbit.png,macaw.jpg,leafrake.png,waffle_maker.png,crepes.jpg,beet.jpg
guineapig.png,flamingo.png,wateringcan.png,keyboard.png,onion_rings.png,honeydew_melon.png
wild_dog.png,bluejay.png,stapleremover.png,sanding_machine.png,fish_cake_soup.png,coconut.png
asia_black_bear.png,marlin.jpg,oneholepunch.png,circle_cutter.png,cookie.png,carrot.png
zebra.png,octopus.png,mathcompass.png,microphone.png,salmon_filet.png,blueberry.png
tiger.png,squid.png,benchdogs.jpg,cordless_cutter.png,hamburgers.png,pineapple.png
armadillo.jpg,shrimp.png,rollingpin.png,hand_mixer.png,steak.png,celery.png
kangaroo.png,killer_whale.png,toothbrush.png,nail_gun.png,macarons.png,artichoke.png
sheep.png,lobster.png,tweezers.png,pruning_tool.png,biscuits.jpg,braziliannuts.jpg
warthog.png,koi.jpg,tongs.png,television.jpg,pita.jpg,ginger.png
cow.png,shark.jpg,lockingplier.png,blower.png,jambalaya.png,mango.png
gorilla.jpg,toucan.png,peeler.png,hand_vacuum.png,croissant.png,onion.png
panda.png,manatee.jpg,fryingpan.png,microwave.jpg,pinwheels.png,chestnuts.jpg
cheetah.png,clownfish.png,whisk.png,lawn_mower.png,grilled_corn.png,grape.png
blackleopard.jpg,turbot.png,scissors.png,electric_mixer.png,dumplings.jpg,yams.jpg
raccoon.png,stingray.png,clamp.jpg,lantern.jpg,baked_potato.png,tomato.jpg
donkey.png,moth.jpg,bevelgauge.jpg,megaphone.png,kabob.png,asparagus.png
gerbil.jpg,magpie.png,stapler.png,extra_power_gimlet.png,pumpkin_pie.png,cherry.jpg
hyena.png,barn_owl.png,abacus.jpg,flash_light.png,grilled_cheese.png,sweet_potato.png
anaconda.png,crow.png,beadingtool.jpg,steamcleaner.jpg,lasagna.png,pepper.png
squirrel.png,cedarwaxwing.png,boltcutter.png,curling_iron.png,fries.png,watermelon.png
sloth.png,sparrow.png,poolnet.png,mixer.jpg,pretzels.jpg,raddish.png
cat.png,swordfish.png,binoculars.jpg,photocopier.png,cheese_sticks.png,pomegranate.png
anteater.png,seaslug.jpg,screwdriver.png,walkie_talkie.png,meat_ball.png,butternutsquash.jpg
ram.png,rainbowtrout.jpg,sieve.png,paintgun.jpg,croutons.jpg,blackberry.png
longhorn.png,goose.png,caliper.jpg,mobile_cutter.png,baguette.png,snowpea.png
red_fox.png,koi_fish.png,swissarmyknife.png,measurement_cutter.png,crackers.jpg,barley.jpg
bassethound.png,crab_02.png,cuttingpliers.png,hair_clipper.png,ricecakes.jpg,garlic.png
wild_pig.png,narwhal.png,avocadoslicer.jpg,saw_table.png,chicken_curry.png,pear.png
chipmunk.jpg,halibut.jpg,handgripper.png,drill.png,sausage.jpg,avocado.png
porcupine.png,minnow.jpg,anvil.jpg,tuner.jpg,bagel.jpg,walnut.jpg
japan_monkey.png,marabou.png,glassmop.png,laptop.jpg,roast_chicken.png,peas.png
mandillbaboon.png,dove.jpg,grater.png,toaster_white.png,sesamerolls.jpg,acaiberries.jpg
blauwe_gnoe.png,pigeon.png,garlicpress.png,video_camera.png,muffin.png,chives.jpg
giraffe.png,gold_fish.png,airpump.jpg,snow_blower.png,fried_egg.png,leek.png
bushdog.jpg,whale_shark.png,paintroller.png,woodchipper.jpg,icecream.jpg,raw_corn.png
blackgoat.png,eel.png,shovel.png,jigsaw.png,omelette.png,banana.png
moose.png,herring.jpg,knife.png,hand_blender.png,jerky.jpg,eggplant.png
chimp.jpg,perch.jpg,bucket.jpg,screw_machine.png,egg_rolls.png,apple_green.png
alpaca.png,king_fisher.png,pickaxe.png,grill.jpg,hash_potato.png,cabbage.jpg
pig.png,sail_fish.png,blackboard.jpg,iron.png,bacon.png,strawberry.png
koala.png,tragopan.jpg,snowshovel.png,face_cleansing_brush.png,pizza.png,chilli_pepper.png
llama.png,hor.png,broom.jpg,treadmill.jpg,fish_curry.png,cashews.jpg
baboon.jpg,beluga_whale.png,paperclip.png,water_boiler.png,meatloaf.png,celeriac.jpg
africanelephant.png,mahimahi.jpg,crutches.jpg,cellphone.png,donut.png,pumpkin.png
jaguar.png,snapper.jpg,hedgeshears.png,jack_hammer_yellow.png,pasta.jpg,okra.png
highlandcow.jpg,elephant_seal.png,bottleopener.jpg,blender.png,taco.png,kiwi.png
lemur.jpg,kiwi.png,fork.png,vacuum.png,ham.jpg,acorn_squash.png
skunk.png,humming_bird.png,sledgehammer.png,oven.jpg,toast.jpg,turnip.png
goat.jpg,pelican.png,flip_spatula.png,sewing_machine.png,berry_cake.png,brusselssprout.png
hedgehog.png,vulture.png,measuringtape.png,punching_machine.png,meatball_sub.png,broccoli.png
